name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime
Crown & Sceptre,57 Melina Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000251,Askew,,-0.23615756866750107,51.50313630988785,522518.96681023703,179718.9240975632,01/19/2020
Coningham Arms,191 Uxbridge Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000251,Askew,,-0.23819697658355385,51.506296375546185,522368.9668504209,180066.9240034719,01/19/2020
Old Hat,128 Broadway,West Ealing,,E09000009,Ealing,,E05000176,Elthorne,,-0.32467077994300664,51.51020662965398,516357.96848621033,180360.92392477178,01/19/2020
Hennessys,138 Broadway,West Ealing,,E09000009,Ealing,,E05000176,Elthorne,,-0.3279257064128107,51.50986638831635,516132.96854687063,180317.92393666075,01/19/2020
Duke Of Kent,2 Scotch Common,West Ealing,London,E09000009,Ealing,,E05000171,Cleveland,,-0.32014477960982185,51.52471865900647,516634.96840861073,181981.92348664562,01/19/2020
Drayton Court Hotel,2 The Avenue,West Ealing,London,E09000009,Ealing,,E05000173,Ealing Broadway,,-0.31927356198716356,51.51471558643242,516720.9683893275,180870.92378606455,01/19/2020
Castlebar,84 Uxbridge Road,West Ealing,,E09000009,Ealing,,E05000173,Ealing Broadway,,-0.3150164602985983,51.511740990377874,517023.96830580145,180546.9238739775,01/19/2020
Star & Anchor,94 Uxbridge Road,West Ealing,London,E09000009,Ealing,,E05000173,Ealing Broadway,,-0.3150164602985983,51.511740990377874,517023.96830580145,180546.9238739775,01/19/2020
Black George,181 Uxbridge Road,West Ealing,,E09000009,Ealing,,E05000192,Walpole,,-0.3177518595278816,51.511033852508795,516835.9683573633,180463.92389654322,01/19/2020
Ashbys,123 Uxbridge Road,West Ealing,,E09000009,Ealing,,E05000192,Walpole,,-0.3158691221701676,51.511285619732874,516965.9683216671,180494.92388811597,01/19/2020
O'Briens,137 Uxbridge Road,West Ealing,,E09000009,Ealing,,E05000192,Walpole,,-0.3158691221701676,51.511285619732874,516965.9683216671,180494.92388811597,01/19/2020
Forester,2 Leighton Road,West Ealing,,E09000009,Ealing,,E05000192,Walpole,,-0.3210796331286616,51.50597380248598,516617.9684163191,179895.9240515026,01/19/2020
Pasha Kitchen,78-80 Northfield Avenue,West Ealing,London,E09000009,Ealing,,E05000192,Walpole,,-0.3183588124382717,51.50394749817215,516811.9683642768,179674.9241119753,01/19/2020
Owl & The Pussycat,106 Northfield Avenue,Northfields,London,E09000009,Ealing,,E05000192,Walpole,,-0.31691590119687846,51.50282973156271,516914.9683363684,179552.92414521438,01/19/2020
Players,184 Northfield Avenue,West Ealing,,E09000009,Ealing,,E05000192,Walpole,,-0.3159545786443404,51.50154800159095,516984.96831752016,179411.92418361566,01/19/2020
